source,type,name,phone,details,link,date
propertypro,listing,Agent,N/A,"5 bedroom Detached Duplex, House in Adeniyi Jones Ikeja Lagos | Detached Duplex, House for sale in Ikeja | Detached Duplex, House in Ikeja | 5 bedroom",https://propertypro.ng/property/5-bedroom-house-for-sale-adeniyi-jones-ikeja-lagos-8QCZX,2026-09-07
propertypro,listing,Agent,N/A,"3 bedroom Blocks Of Flats, House in Magodo Kosofe Ikosi Lagos | Blocks Of Flats, House for sale in Kosofe Ikosi | Blocks Of Flats, House in Kosofe Ikosi | 3 bedroom",https://propertypro.ng/property/3-bedroom-house-for-sale-off-cmd-road-magodo-kosofe-ikosi-lagos-2QDEK,2026-09-07
propertypro,listing,Agent,N/A,"3 bedroom Blocks Of Flats, House in Magodo Kosofe Ikosi Lagos | Blocks Of Flats, House for sale in Kosofe Ikosi | Blocks Of Flats, House in Kosofe Ikosi | 3 bedroom",https://propertypro.ng/property/3-bedroom-house-for-sale-off-cmd-rd-magodo-kosofe-ikosi-lagos-5PYNB,2026-09-07
propertypro,listing,Agent,N/A,"4 bedroom Detached Duplex, House in Enugu Enugu | Detached Duplex, House for sale in Enugu | Detached Duplex, House in Enugu | 4 bedroom",https://propertypro.ng/property/4-bedroom-house-for-sale-centenary-city-enugu-enugu-5PXYQ,2026-09-07
propertypro,listing,Agent,N/A,"2 bedroom Blocks Of Flats, House in Vgc Lekki Lagos | Blocks Of Flats, House for sale in Lekki | Blocks Of Flats, House in Lekki | 2 bedroom",https://propertypro.ng/property/2-bedroom-house-for-sale-vgc-lekki-lagos-9QCSZ,2026-09-07
propertypro,listing,Agent,N/A,"2 bedroom Blocks Of Flats, House in Ologolo Lekki Lagos | Blocks Of Flats, House for sale in Lekki | Blocks Of Flats, House in Lekki | 2 bedroom",https://propertypro.ng/property/2-bedroom-house-for-sale-ologolo-lekki-lagos-2PXHH,2026-09-07
propertypro,listing,Agent,N/A,"3 bedroom Terraced Duplex, House in Ikota Lekki Lagos | Terraced Duplex, House for sale in Lekki | Terraced Duplex, House in Lekki | 3 bedroom",https://propertypro.ng/property/3-bedroom-house-for-sale-ikota-lekki-lagos-2QCPF,2026-09-07
propertypro,listing,Agent,N/A,"2 bedroom Blocks Of Flats, House in Ologolo Lekki Lagos | Blocks Of Flats, House for sale in Lekki | Blocks Of Flats, House in Lekki | 2 bedroom",https://propertypro.ng/property/2-bedroom-house-for-sale-ologolo-lekki-lagos-3PXHM,2026-09-07
propertypro,listing,Agent,N/A,"4 bedroom Detached Duplex, House in Enugu Enugu | Detached Duplex, House for sale in Enugu | Detached Duplex, House in Enugu | 4 bedroom",https://propertypro.ng/property/4-bedroom-house-for-sale-centenary-city-enugu-enugu-3PYBG,2026-09-07
propertypro,listing,Agent,N/A,"4 bedroom Terraced Duplex, House in Orchid Lekki Lagos | Terraced Duplex, House for sale in Lekki | Terraced Duplex, House in Lekki | 4 bedroom",https://propertypro.ng/property/4-bedroom-house-for-sale-orchid-lekki-lagos-9PYKE,2026-09-07
