source,type,phone,price,details,link,date
propertypro,listing,N/A,N/A,"4 bedroom Terraced Duplex, House in Lekki Phase 1 Lekki Lagos | Terraced Duplex, House for sale in Lekki | Terraced Duplex, House in Lekki | 4 bedroom",https://propertypro.ng/property/4-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-8PRDK,2026-09-20
propertypro,listing,N/A,N/A,"5 bedroom Detached Duplex, House in Ikota Lekki Lagos | Detached Duplex, House for sale in Lekki | Detached Duplex, House in Lekki | 5 bedroom",https://propertypro.ng/property/5-bedroom-house-for-sale-ikota-lekki-lagos-3QFKT,2026-09-20
propertypro,listing,N/A,N/A,"4 bedroom Detached Duplex, House in Ikeja Lagos | Detached Duplex, House for sale in Ikeja | Detached Duplex, House in Ikeja | 4 bedroom",https://propertypro.ng/property/4-bedroom-house-for-sale-omole-phase-1-estate-ikeja-lagos-6QFDU,2026-09-20
propertypro,listing,N/A,N/A,"4 bedroom Terraced Duplex, House in Ikate Lekki Lagos | Terraced Duplex, House for sale in Lekki | Terraced Duplex, House in Lekki | 4 bedroom",https://propertypro.ng/property/4-bedroom-house-for-sale-ikate-lekki-lagos-5QFEU,2026-09-20
propertypro,listing,N/A,N/A,"4 bedroom Semi Detached Duplex, House in Ado Road Ajah Lagos | Semi Detached Duplex, House for sale in Ajah | Semi Detached Duplex, House in Ajah | 4 bedroom",https://propertypro.ng/property/4-bedroom-house-for-sale-lekki-palm-city-estate-ajah-lagos-ado-road-ajah-lagos-9QFJW,2026-09-20
npc,listing,N/A,295000000,7-Bedroom Detached Duplex at Carcass Level,N/A,2026-09-20
npc,listing,N/A,1500000000,"5 Bedroom Detached Duplex with Swimming Pool, BQ",N/A,2026-09-20
npc,listing,N/A,400000000,Newly Built 5 Bedroom House,N/A,2026-09-20
npc,listing,N/A,620000000,Newly Built 5 Bedroom House,N/A,2026-09-20
npc,listing,N/A,300000000,4 Bedroom House with BQ,N/A,2026-09-20
