source,city,type,title,price,size,phone,link,date
propertypro,Nigeria,sale,"5 bedroom Detached Duplex, House in Ikeja Gra Ikeja Lagos | Detached Duplex, House for sale in Ikeja | Detached Duplex, House in Ikeja | 5 bedroom",1600000000,Unknown,N/A,https://propertypro.ng/property/5-bedroom-house-for-sale-ikeja-gra-ikeja-lagos-8QGBV,2026-09-26
propertypro,Nigeria,sale,"2 bedroom Semi Detached Duplex, House in Abraham Adesanya Estate Ajah Lagos | Semi Detached Duplex, House for sale in Ajah | Semi Detached Duplex, House in Ajah | 2 bedroom",125000000,Unknown,N/A,https://propertypro.ng/property/2-bedroom-house-for-sale-abraham-adesanya-estate-ajah-lagos-7QGBV,2026-09-26
propertypro,Nigeria,sale,"4 bedroom Semi Detached Duplex, House in Ligali Ayorinde Victoria Island Lagos | Semi Detached Duplex, House for sale in Victoria Island | Semi Detached Duplex, House in Victoria Island | 4 bedroom",700000000,Unknown,N/A,https://propertypro.ng/property/4-bedroom-house-for-sale-makoro-ligali-ayorinde-victoria-island-lagos-6QGBV,2026-09-26
propertypro,Nigeria,sale,"4 bedroom Semi Detached Duplex, House in Jericho Ibadan Oyo | Semi Detached Duplex, House for sale in Ibadan | Semi Detached Duplex, House in Ibadan | 4 bedroom",150000000,Unknown,N/A,https://propertypro.ng/property/4-bedroom-house-for-sale-off-basorun-akpampa-drive-jericho-ibadan-oyo-7PJVH,2026-09-26
propertypro,Nigeria,sale,"5 bedroom Detached Duplex, House in Vgc Lekki Lagos | Detached Duplex, House for sale in Lekki | Detached Duplex, House in Lekki | 5 bedroom",450000000,Unknown,N/A,https://propertypro.ng/property/5-bedroom-house-for-sale-vgc-lekki-lagos-9PJWM,2026-09-26
propertypro,Nigeria,sale,4 bedroom House in Ikota Lekki Lagos | House for sale in Lekki | House in Lekki | 4 bedroom,240000000,Unknown,N/A,https://propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-3QGBT,2026-09-26
propertypro,Nigeria,sale,4 bedroom House in Lekki Phase 1 Lekki Lagos | House for sale in Lekki | House in Lekki | 4 bedroom,490000000,Unknown,N/A,https://propertypro.ng/property/4-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-9QGBS,2026-09-26
propertypro,Nigeria,sale,"1 bedroom mini flat Blocks Of Flats, House in Lekki Phase 1 Lekki Lagos | Blocks Of Flats, House for sale in Lekki | Blocks Of Flats, House in Lekki | 1 bedroom mini flat",280000000,Unknown,N/A,https://propertypro.ng/property/1-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-7QGBP,2026-09-26
propertypro,Nigeria,sale,"5 bedroom Detached Duplex, House in Maitama Abuja | Detached Duplex, House for sale in Maitama | Detached Duplex, House in Maitama | 5 bedroom",2700000000,Unknown,N/A,https://propertypro.ng/property/5-bedroom-house-for-sale-maitama-abuja-maitama-abuja-9QGBL,2026-09-26
propertypro,Nigeria,sale,"4 bedroom Detached Duplex, House in Samonda Ibadan Oyo | Detached Duplex, House for sale in Ibadan | Detached Duplex, House in Ibadan | 4 bedroom",335000000,Unknown,N/A,https://propertypro.ng/property/4-bedroom-house-for-sale-samonda-ibadan-oyo-1NSSP,2026-09-26
propertypro,Nigeria,sale,"5 bedroom Detached Duplex, House in Omole Phase 1 Ojodu Lagos | Detached Duplex, House for sale in Ojodu | Detached Duplex, House in Ojodu | 5 bedroom",700000000,Unknown,N/A,https://propertypro.ng/property/5-bedroom-house-for-sale-omole-phase-1-ojodu-lagos-4NUXQ,2026-09-26
propertypro,Nigeria,sale,"5 bedroom Detached Duplex, House in Oluyole Estate Ibadan Oyo | Detached Duplex, House for sale in Ibadan | Detached Duplex, House in Ibadan | 5 bedroom",275000000,Unknown,N/A,https://propertypro.ng/property/5-bedroom-house-for-sale-malami-estate-oluyole-estate-ibadan-oyo-7NRFD,2026-09-26
propertypro,Nigeria,sale,"7 bedroom Detached Duplex, House in Eleko Ibeju Lekki Lagos | Detached Duplex, House for sale in Ibeju Lekki | Detached Duplex, House in Ibeju Lekki | 7 bedroom",590000000,Unknown,N/A,https://propertypro.ng/property/7-bedroom-house-for-sale-amen-estate-eleko-ibeju-lekki-lagos-9PGQD,2026-09-26
propertypro,Nigeria,sale,"5 bedroom Semi Detached Duplex, House in Ikate Lekki Lagos | Semi Detached Duplex, House for sale in Lekki | Semi Detached Duplex, House in Lekki | 5 bedroom",985000000,Unknown,N/A,https://propertypro.ng/property/5-bedroom-house-for-sale-cowrie-creek-estate-ikate-lekki-lagos-0PHWP,2026-09-26
propertypro,Nigeria,sale,"5 bedroom Detached Duplex, House in Akobo Ibadan Oyo | Detached Duplex, House for sale in Ibadan | Detached Duplex, House in Ibadan | 5 bedroom",85000000,Unknown,N/A,https://propertypro.ng/property/5-bedroom-house-for-sale-road-4-omolayo-akobo-ibadan-oyo-6QGAU,2026-09-26
propertypro,Nigeria,sale," Blocks Of Flats, House in Moniya Ibadan Oyo | Blocks Of Flats, House for sale in Ibadan | Blocks Of Flats, House in Ibadan",35000000,Unknown,N/A,https://propertypro.ng/property/house-for-sale-moniya-ibadan-oyo-5QGAT,2026-09-26
propertypro,Nigeria,sale,"4 bedroom Semi Detached Duplex, House in Chevron Alternative Route Lekki Lagos | Semi Detached Duplex, House for sale in Lekki | Semi Detached Duplex, House in Lekki | 4 bedroom",190000000,Unknown,N/A,https://propertypro.ng/property/4-bedroom-house-for-sale-chevron-alternative-route-lekki-lagos-1QDEH,2026-09-26
propertypro,Nigeria,sale,"4 bedroom Semi Detached Duplex, House in Jericho Ibadan Oyo | Semi Detached Duplex, House for sale in Ibadan | Semi Detached Duplex, House in Ibadan | 4 bedroom",185000000,Unknown,N/A,https://propertypro.ng/property/4-bedroom-house-for-sale-jericho-ibadan-oyo-6PRDU,2026-09-26
propertypro,Nigeria,sale,"3 bedroom Terraced Duplex, House in Ikota Lekki Lagos | Terraced Duplex, House for sale in Lekki | Terraced Duplex, House in Lekki | 3 bedroom",90000000,Unknown,N/A,https://propertypro.ng/property/3-bedroom-house-for-sale-ikota-lekki-lagos-3PQQM,2026-09-26
propertypro,Nigeria,sale,"4 bedroom Terraced Duplex, House in Ajah Lagos | Terraced Duplex, House for sale in Ajah | Terraced Duplex, House in Ajah | 4 bedroom",150000000,Unknown,N/A,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-2PVAE,2026-09-26
